"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
120,12005,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
120,12006,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
120,12007,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,12009,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
120,12010,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
120,12011,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
120,12013,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
121,12101,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
121,12102,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
121,12103,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
121,12104,0,0,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
121,12105,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
121,12106,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
121,12107,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
121,12108,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
121,12109,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
121,12110,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
121,12112,0,0,200,NA,NA,NA,NA,NA,NA,8,NA,NA
121,12113,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
121,12114,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
121,12115,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
121,12116,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
122,12200,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
122,12201,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,12202,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12203,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12204,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12205,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
122,12206,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12207,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
122,12208,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12209,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
122,12210,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
122,12211,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12212,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
122,12213,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
123,12300,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
123,12301,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
123,12302,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
123,12303,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,12304,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,12305,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
123,12306,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
123,12308,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
123,12309,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,12310,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
123,12311,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
124,12400,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
124,12401,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
124,12402,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
124,12404,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
124,12407,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
124,12409,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
124,12410,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
124,12411,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
124,12412,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
124,12413,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
124,12414,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
124,12416,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
125,12500,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
125,12501,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
125,12502,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
125,12503,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
125,12504,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
125,12505,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
125,12506,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
125,12507,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
125,12510,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
125,12513,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
126,12603,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
126,12604,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
126,12605,0,1,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
126,12606,0,1,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,12607,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
126,12608,0,1,200,NA,NA,NA,NA,NA,NA,6,NA,NA
126,12610,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
126,12611,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
126,12612,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
126,12613,0,1,200,NA,NA,NA,NA,NA,NA,6,NA,NA
126,12614,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
126,12615,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
126,12616,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
127,12700,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12701,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12702,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12704,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12705,0,1,200,NA,NA,NA,NA,NA,NA,6,NA,NA
127,12706,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12707,0,1,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
127,12708,0,1,1150,NA,NA,NA,NA,NA,NA,10,NA,NA
127,12709,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
127,12710,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
127,12711,0,1,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
127,12712,0,1,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
128,12800,0,1,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
128,12801,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
128,12803,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
128,12805,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
128,12806,0,1,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
128,12808,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
128,12809,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
128,12810,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
128,12812,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
128,12813,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
129,12900,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
129,12901,0,1,200,NA,NA,NA,NA,NA,NA,4,NA,NA
129,12903,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
129,12905,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
129,12906,0,1,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
129,12907,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
129,12908,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
129,12909,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
129,12910,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
129,12911,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
129,12912,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
129,12913,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
129,12914,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
130,13000,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
130,13001,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
130,13003,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
130,13004,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
130,13006,0,1,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
130,13008,0,1,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
130,13009,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
130,13010,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
130,13011,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
130,13012,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
130,13015,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
130,13016,0,1,200,NA,NA,NA,NA,NA,NA,1,NA,NA
131,13100,0,1,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
131,13102,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
131,13103,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
131,13104,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
131,13105,0,1,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
131,13106,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
131,13107,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
131,13108,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
131,13109,0,1,200,NA,NA,NA,NA,NA,NA,5,NA,NA
131,13110,0,1,200,NA,NA,NA,NA,NA,NA,2,NA,NA
131,13114,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
131,13115,0,1,200,NA,NA,NA,NA,NA,NA,3,NA,NA
132,13202,0,1,200,NA,NA,NA,NA,NA,NA,6,NA,NA
132,13203,0,1,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
