superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_harm_rate,country3,yindex,rank,post_coop_local_coop_rate,post_coop_local_harm_rate,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
20105,14,201,0,200,250,3400,-0.0291029054880896,Middle,1,1,6,0,0,male,13,0,-2,100,2,10,5,1,US,0.355055446954693,0.444444444444444,1,0,5,10,0.555555555555556,0.000846979107848676,0.34,0.1156,0.025,169
20105,15,201,0,200,300,3700,0.0246473610422074,Middle,1,1,6,1,0,male,13,0,-2,100,2,10,6,1,US,0.345063054590903,0.444444444444444,1,0,0,10,0,0.000607492406344923,0.37,0.1369,0.03,169
20106,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,5,-2,NA,female,15,1,-2,350,5,10,NA,NA,US,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,225
20106,1,201,0,200,200,400,-0.0683319888514091,Middle,0,NA,5,0,0,female,15,1,-2,350,5,10,5,0.4,US,0.37582593868275,0.611111111111111,0.4,0,2,10,0.222222222222222,0.0046692607003891,0.04,0.0016,0.02,225
20106,2,201,0,200,400,800,0.655176938177657,Richer,0,0.8,6,2,0,female,15,1,-2,350,5,10,5,0.8,US,0.151194678040998,0.777777777777778,0.8,0,2,10,0.222222222222222,0.429256820319849,0.08,0.0064,0.04,225
20106,3,201,0,200,500,1300,1.40553145542858,Richer,0,0.833333333333333,5,2,0,female,15,1,-2,350,5,10,6,0.833333333333333,US,0.0152775158198758,0.888888888888889,0.833333333333333,0,1,10,0.111111111111111,1.97551867219918,0.13,0.0169,0.05,225
20106,4,201,0,200,200,1500,1.51876943080298,Richest,0,0.6,4,1,0,female,15,1,-2,350,5,10,5,0.4,US,0,1,0.6,0.2,1,10,0.111111111111111,2.30666058394161,0.15,0.0225,0.02,225
20106,5,201,0,200,300,1800,1.54117114276166,Richest,0,0.75,4,2,0,female,15,1,-2,350,5,10,4,0.75,US,0,1,0.75,0,2,10,0.222222222222222,2.37520849128128,0.18,0.0324,0.03,225
20106,6,201,0,200,300,2100,1.45490655759888,Richer,0,0.75,5,2,0,female,15,1,-2,350,5,10,4,0.75,US,0,1,0.75,0,3,10,0.333333333333333,2.11675309134422,0.21,0.0441,0.03,225
20106,7,201,0,200,400,2500,1.46236121421351,Richer,0,0.8,4,1,0,female,15,1,-2,350,5,10,5,0.8,US,0,1,0.8,0,3,10,0.333333333333333,2.13850032083601,0.25,0.0625,0.04,225
