superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_rate,country3,yindex,rank,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
10105,5,101,0,200,250,850,-1.35771863896081,Poorer,1,0.8,8,2,NA,male,4,2,-1,650,1,10,5,1,US,1.35771863896081,0,6,10,0.666666666666667,1.84339990258159,0.085,0.007225,0.025,16
10105,6,101,0,200,300,1150,-1.25027877932176,Poorer,1,1,8,1,NA,male,4,2,-1,650,1,10,8,0.875,US,1.25027877932176,0,0,10,0,1.56319702602231,0.115,0.013225,0.03,16
10105,7,101,0,200,400,1550,-1.24200605890859,Poorer,1,0.875,8,2,NA,male,4,2,-1,650,1,10,8,1,US,1.24200605890859,0,1,10,0.111111111111111,1.54257905036565,0.155,0.024025,0.04,16
10105,8,101,0,200,300,1850,-1.21739953538684,Poorer,1,1,8,1,NA,male,4,2,-1,650,1,10,8,0.875,US,1.21739953538684,0,3,10,0.333333333333333,1.48206162876009,0.185,0.034225,0.03,16
10105,9,101,0,200,400,2250,-1.19294511961455,Poorer,1,0.875,8,2,NA,male,4,2,-1,650,1,10,8,1,US,1.19294511961455,0,1,10,0.111111111111111,1.42311805841217,0.225,0.050625,0.04,16
10105,10,101,0,200,200,2450,-0.947131594883891,Poorer,1,1,8,-1,NA,male,4,2,-1,650,1,10,8,0.75,US,0.947131594883891,0,0,10,0,0.897058258027303,0.245,0.060025,0.02,16
10105,11,101,0,200,100,2550,-0.921975352436906,Poorer,1,0.75,8,-2,NA,male,4,2,-1,650,1,10,8,0.625,US,0.921975352436906,0,1,10,0.111111111111111,0.850038550501157,0.255,0.065025,0.01,16
10105,12,101,0,200,200,2750,-0.937074227640537,Poorer,1,0.625,8,-1,NA,male,4,2,-1,650,1,10,8,0.75,US,0.937074227640537,0,2,10,0.222222222222222,0.878108108108109,0.275,0.075625,0.02,16
10105,13,101,0,200,100,2850,-0.924366121490525,Poorer,1,0.75,8,-2,NA,male,4,2,-1,650,1,10,8,0.625,US,0.924366121490525,0,1,10,0.111111111111111,0.854452726559436,0.285,0.081225,0.01,16
10105,14,101,0,200,200,3050,-0.903546733168638,Poorer,1,0.625,9,0,NA,male,4,2,-1,650,1,10,8,0.75,US,0.903546733168638,0,1,10,0.111111111111111,0.816396699019718,0.305,0.093025,0.02,16
10105,15,101,0,200,250,3300,-0.867113974995904,Poorer,1,0.777777777777778,9,0,NA,male,4,2,-1,650,1,10,9,0.777777777777778,US,0.867113974995904,0,2,10,0.222222222222222,0.751886645633197,0.33,0.1089,0.025,16
10106,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,3,2,NA,male,-5,2,2,800,3,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,25
10106,1,101,0,200,150,350,-0.524869532131281,Poorer,1,NA,4,2,NA,male,-5,2,2,800,3,10,3,1,US,0.592160497789138,0.333333333333333,1,10,0.111111111111111,0.27548802575971,0.035,0.001225,0.015,25
10106,2,101,0,200,200,550,-0.550678802675548,Poorer,1,1,6,2,NA,male,-5,2,2,800,3,10,4,1,US,0.658128325148826,0.277777777777778,3,10,0.333333333333333,0.303247143716175,0.055,0.003025,0.02,25
10106,3,101,0,200,200,750,-0.524556227366323,Poorer,1,1,7,1,NA,male,-5,2,2,800,3,10,6,0.833333333333333,US,0.655695284207904,0.388888888888889,3,10,0.333333333333333,0.27515923566879,0.075,0.005625,0.02,25
10106,4,101,0,200,250,1000,-0.434823711189669,Middle,1,1,8,1,NA,male,-5,2,2,800,3,10,7,0.857142857142857,US,0.603428823691786,0.444444444444444,2,10,0.222222222222222,0.189071659812757,0.1,0.01,0.025,25
10106,5,101,0,200,400,1400,-0.327725188714678,Middle,1,0.875,8,2,NA,male,-5,2,2,800,3,10,8,1,US,0.561814609225162,0.444444444444444,0,10,0,0.107403799318071,0.14,0.0196,0.04,25
10106,6,101,0,200,200,1600,-0.47424367491515,Middle,1,1,7,1,NA,male,-5,2,2,800,3,10,8,0.75,US,0.620828083525287,0.444444444444444,1,10,0.111111111111111,0.224907063197026,0.16,0.0256,0.02,25
10106,7,101,0,200,350,1950,-0.471769743306363,Middle,1,0.857142857142857,8,2,NA,male,-5,2,2,800,3,10,7,1,US,0.61618905248178,0.444444444444444,3,10,0.333333333333333,0.222566690699352,0.195,0.038025,0.035,25
10106,8,101,0,200,400,2350,-0.308892419426511,Middle,1,1,8,2,NA,male,-5,2,2,800,3,10,8,1,US,0.517849056097386,0.444444444444444,3,10,0.333333333333333,0.0954145267791636,0.235,0.055225,0.04,25
10106,9,101,0,200,300,2650,-0.423303106960002,Middle,1,1,8,1,NA,male,-5,2,2,800,3,10,8,0.875,US,0.577231509490912,0.444444444444444,3,10,0.333333333333333,0.179185520361991,0.265,0.070225,0.03,25
10106,10,101,0,200,200,2850,-0.420947375503951,Middle,1,1,9,1,NA,male,-5,2,2,800,3,10,8,0.75,US,0.526184219379939,0.555555555555556,5,10,0.555555555555556,0.177196692943664,0.285,0.081225,0.02,25
10106,11,101,0,200,150,3000,-0.447816599755068,Middle,1,0.777777777777778,9,1,NA,male,-5,2,2,800,3,10,9,0.666666666666667,US,0.54791678087679,0.555555555555556,2,10,0.222222222222222,0.200539707016191,0.3,0.09,0.015,25
10106,12,101,0,200,150,3150,-0.542516658107679,Poorer,1,0.666666666666667,9,1,NA,male,-5,2,2,800,3,10,9,0.666666666666667,US,0.596768323918447,0.333333333333333,1,10,0.111111111111111,0.294324324324324,0.315,0.099225,0.015,25
10106,13,101,0,200,150,3300,-0.546216344517128,Poorer,1,0.666666666666667,9,1,NA,male,-5,2,2,800,3,10,9,0.666666666666667,US,0.609241307346027,0.333333333333333,0,10,0,0.298352295017654,0.33,0.1089,0.015,25
10106,14,101,0,200,250,3550,-0.522303385840099,Poorer,1,0.666666666666667,9,2,NA,male,-5,2,2,800,3,10,9,0.777777777777778,US,0.598552055305807,0.444444444444444,0,10,0,0.272800826860031,0.355,0.126025,0.025,25
10106,15,101,0,200,250,3800,-0.510276948248618,Poorer,1,0.777777777777778,9,2,NA,male,-5,2,2,800,3,10,9,0.777777777777778,US,0.595917834667967,0.444444444444444,0,10,0,0.260382563913923,0.38,0.1444,0.025,25
10108,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,5,-2,NA,female,-5,0,-2,800,5,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,25
10108,1,101,0,200,500,700,0.417203987078711,Middle,0,NA,4,2,NA,female,-5,0,-2,800,5,10,5,1,US,0.269163862631426,0.777777777777778,2,10,0.222222222222222,0.174059166834373,0.07,0.0049,0.05,25
10108,2,101,0,200,200,900,0.389504518965632,Middle,1,1,8,2,NA,female,-5,0,-2,800,5,10,4,1,US,0.255192615874035,0.777777777777778,6,10,0.666666666666667,0.151713770294648,0.09,0.0081,0.02,25
10108,3,101,0,200,800,1700,1.55181217262537,Richest,0,1,6,2,NA,female,-5,0,-2,800,5,10,8,1,US,0,1,3,10,0.333333333333333,2.40812101910827,0.17,0.0289,0.08,25
10108,4,101,0,200,500,2200,1.69492507831075,Richest,0,1,5,2,NA,female,-5,0,-2,800,5,10,6,0.833333333333333,US,0,1,1,10,0.111111111111111,2.8727710210867,0.22,0.0484,0.05,25
10108,5,101,0,200,250,2450,1.63862594357339,Richest,1,1,5,2,NA,female,-5,0,-2,800,5,10,5,1,US,0,1,1,10,0.111111111111111,2.68509498295178,0.245,0.060025,0.025,25
10108,6,101,0,200,250,2700,1.42273102474545,Richer,1,1,5,2,NA,female,-5,0,-2,800,5,10,5,1,US,0.0431130613559227,0.888888888888889,1,10,0.111111111111111,2.02416356877324,0.27,0.0729,0.025,25
10108,7,101,0,200,250,2950,1.4538210456992,Richer,1,1,5,2,NA,female,-5,0,-2,800,5,10,5,1,US,0.0385118157801112,0.888888888888889,2,10,0.222222222222222,2.11359563291792,0.295,0.087025,0.025,25
10108,8,101,0,200,500,3450,1.68982323568621,Richest,0,1,5,2,NA,female,-5,0,-2,800,5,10,5,1,US,0,0.944444444444444,1,10,0.111111111111111,2.85550256786501,0.345,0.119025,0.05,25
10108,9,101,0,200,250,3700,1.59700717625819,Richest,1,1,8,2,NA,female,-5,0,-2,800,5,10,5,1,US,0.0192410503163637,0.888888888888889,5,10,0.555555555555556,2.55043192102016,0.37,0.1369,0.025,25
10108,10,101,0,200,800,4500,1.7495625294383,Richest,0,0.875,8,2,NA,female,-5,0,-2,800,5,10,8,1,US,0.0131546054844985,0.888888888888889,4,10,0.444444444444444,3.06096904441454,0.45,0.2025,0.08,25
10108,11,101,0,200,600,5100,1.76492424609351,Richest,0,0.875,7,2,NA,female,-5,0,-2,800,5,10,8,0.75,US,0,0.944444444444444,2,10,0.222222222222222,3.11495759444874,0.51,0.2601,0.06,25
10108,12,101,0,200,600,5700,1.97278784766429,Richest,0,0.857142857142857,6,2,NA,female,-5,0,-2,800,5,10,7,0.857142857142857,US,0,1,2,10,0.222222222222222,3.8918918918919,0.57,0.3249,0.06,25
10108,13,101,0,200,500,6200,1.89074888486698,Richest,0,1,6,1,NA,female,-5,0,-2,800,5,10,6,0.833333333333333,US,0,1,2,10,0.222222222222222,3.57493134562573,0.62,0.3844,0.05,25
10108,14,101,0,200,600,6800,1.95577837179541,Richest,0,0.833333333333333,5,2,NA,female,-5,0,-2,800,5,10,6,1,US,0,1,2,10,0.222222222222222,3.82506903958271,0.68,0.4624,0.06,25
10108,15,101,0,200,150,6950,1.73779632025928,Richest,1,1,8,1,NA,female,-5,0,-2,800,5,10,5,0.8,US,0,1,5,10,0.555555555555556,3.01993605070669,0.695,0.483025,0.015,25
10109,0,101,0,1150,NA,1150,1.89736659610103,Richest,NA,NA,3,2,NA,male,-2,2,2,300,3,10,NA,NA,US,0,0.944444444444444,0,10,0,3.60000000000001,0.115,0.013225,NA,4
10109,1,101,0,1150,50,1200,1.76302330023584,Richest,1,NA,5,2,NA,male,-2,2,2,300,3,10,3,0.666666666666667,US,0,0.944444444444444,3,10,0.333333333333333,3.10825115717447,0.12,0.0144,0.005,4
10109,2,101,0,1150,250,1450,1.8669354529732,Richest,1,0.8,5,2,NA,male,-2,2,2,300,3,10,5,1,US,0,1,2,10,0.222222222222222,3.48544798556825,0.145,0.021025,0.025,4
10109,3,101,0,1150,50,1500,1.11468198315344,Richer,1,1,7,1,NA,male,-2,2,2,300,3,10,5,0.6,US,0.0655695284207904,0.777777777777778,3,10,0.333333333333333,1.24251592356689,0.15,0.0225,0.005,4
